,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,kuala terengganu,-6.88,112.21,81.25,74,30,6.15,ID,1970-01-01
171,phan rang,-9.66,120.26,75.42,84,100,8.88,ID,1970-01-01
172,thompson,69.49,88.4,51.8,93,75,8.95,RU,1970-01-01
173,merauke,69.7,170.31,41.47,82,80,11.34,RU,1970-01-01
174,saldanha,60.0,-1.25,55.4,93,90,21.92,GB,1970-01-01
175,jiroft,69.22,-51.1,39.2,86,75,9.17,GL,1970-01-01
176,castro,5.56,95.32,81.61,77,99,5.53,ID,1970-01-01
177,yar-sale,-35.33,-72.42,54.14,73,51,1.14,CL,1970-01-01
178,wulanhaote,-9.08,143.21,78.24,87,100,18.34,PG,1970-01-01
179,erzin,44.37,-100.35,57.0,66,75,9.17,US,1970-01-01
180,bara,73.51,80.55,43.92,76,100,18.68,RU,1970-01-01
181,sur,7.04,134.26,78.8,88,75,6.91,PW,1970-01-01
182,vera cruz,64.25,-15.21,57.2,54,40,9.17,IS,1970-01-01
183,biak,46.62,10.7,63.0,71,40,9.17,IT,1970-01-01
184,bathsheba,4.64,103.44,80.6,88,89,2.24,MY,1970-01-01
185,jibuti,33.27,129.88,77.0,88,20,13.87,JP,1970-01-01
186,saleaula,-28.77,114.6,50.0,87,0,3.36,AU,1970-01-01
187,labuhan,32.67,-17.1,75.99,68,1,5.01,PT,1970-01-01
188,waingapu,42.96,17.14,91.0,29,20,6.93,HR,1970-01-01
189,talnakh,37.8,-25.58,75.2,64,40,14.99,PT,1970-01-01
190,pevek,52.63,29.73,69.35,81,95,4.59,BY,1970-01-01
191,sandwick,35.01,37.05,106.11,9,4,18.34,SY,1970-01-01
192,ilulissat,14.92,120.55,78.8,88,90,4.7,PH,1970-01-01
193,banda aceh,41.37,-73.41,72.0,73,75,8.05,US,1970-01-01
194,constitucion,-26.65,15.16,72.59,44,0,13.44,NA,1970-01-01
195,sentyabrskiy,-16.84,36.99,77.04,48,97,7.7,MZ,1970-01-01
196,daru,37.46,-122.43,73.4,87,40,4.32,US,1970-01-01
197,pierre,18.22,-63.06,86.0,74,40,11.41,AI,1970-01-01
198,dikson,51.71,-8.53,68.0,72,75,19.46,IE,1970-01-01
199,kloulklubed,4.38,-7.72,79.29,80,83,12.19,LR,1970-01-01
200,hofn,47.52,122.88,61.0,84,100,9.62,CN,1970-01-01
201,zolotinka,-20.52,57.52,75.2,83,75,11.41,MU,1970-01-01
202,taolanaro,3.98,13.18,76.14,87,14,2.15,CM,1970-01-01
203,lasa,-38.55,-58.74,51.01,79,0,8.01,AR,1970-01-01
204,paka,-17.82,25.15,86.0,13,0,11.41,BW,1970-01-01
205,imari,30.3,111.5,78.01,75,20,4.61,CN,1970-01-01
206,geraldton,-34.0,24.73,68.0,73,0,8.99,ZA,1970-01-01
207,ponta do sol,27.63,93.83,59.94,100,99,1.3,IN,1970-01-01
208,korcula,-25.4,-70.48,62.47,54,14,7.49,CL,1970-01-01
209,makung,42.29,123.84,62.87,92,100,14.14,CN,1970-01-01
210,rabo de peixe,62.23,-6.59,53.6,81,75,31.09,FO,1970-01-01
211,svetlogorsk,41.25,67.97,71.78,22,0,13.15,KZ,1970-01-01
212,salamiyah,20.62,-88.22,80.46,80,38,0.87,MX,1970-01-01
213,lubao,-16.5,27.61,76.86,21,0,11.01,ZM,1970-01-01
214,bethel,2.77,27.62,77.92,77,33,1.88,CD,1970-01-01
215,luderitz,-14.74,-50.57,96.91,15,46,9.78,BR,1970-01-01
216,mocuba,65.82,87.98,49.6,65,100,5.79,RU,1970-01-01
217,half moon bay,48.38,-4.62,66.2,68,90,6.93,FR,1970-01-01
218,the valley,65.97,29.18,51.8,87,75,4.7,FI,1970-01-01
219,kinsale,56.24,43.46,78.8,34,100,6.71,RU,1970-01-01
220,harper,19.22,-104.7,79.52,78,85,3.04,MX,1970-01-01
221,nianzishan,-27.08,152.95,63.0,81,48,7.02,AU,1970-01-01
222,souillac,-27.05,-55.78,60.8,82,90,6.93,PY,1970-01-01
223,abong mbang,34.64,-120.46,62.6,77,1,3.36,US,1970-01-01
224,necochea,15.65,120.64,78.8,88,90,4.7,PH,1970-01-01
225,kasane,64.75,177.48,33.8,64,0,6.71,RU,1970-01-01
226,zhicheng,-21.64,-41.05,78.8,69,20,6.93,BR,1970-01-01
227,kruisfontein,8.36,80.42,80.49,77,94,9.89,LK,1970-01-01
228,ziro,42.8,93.45,80.53,23,100,17.56,CN,1970-01-01
229,taltal,47.87,88.12,52.34,44,58,2.8,CN,1970-01-01
230,tieling,-20.73,139.5,78.8,22,0,6.93,AU,1970-01-01
231,klaksvik,7.62,-11.83,81.46,82,60,6.93,SL,1970-01-01
232,chardara,29.97,40.21,107.6,8,0,11.41,SA,1970-01-01
233,chichimila,-33.48,150.15,48.0,88,0,2.15,AU,1970-01-01
234,gwembe,45.72,27.47,87.8,25,5,9.17,RO,1970-01-01
235,palabuhanratu,-9.67,-35.74,80.6,65,75,13.87,BR,1970-01-01
236,isiro,51.07,-1.8,66.2,68,90,12.75,GB,1970-01-01
237,mozarlandia,45.52,-122.68,63.0,82,1,2.59,US,1970-01-01
238,turukhansk,11.47,49.87,88.86,56,10,3.15,SO,1970-01-01
239,plouzane,41.35,-72.08,75.0,83,1,6.93,US,1970-01-01
240,kuusamo,37.72,-25.43,75.2,64,40,14.99,PT,1970-01-01
241,dzerzhinsk,-6.42,20.8,96.17,26,52,2.17,CD,1970-01-01
242,san patricio,31.61,34.76,90.0,58,0,7.0,IL,1970-01-01
243,caboolture,-26.37,-70.05,68.83,23,6,4.34,CL,1970-01-01
244,jesus,-11.38,43.28,76.96,68,2,6.73,KM,1970-01-01
245,lompoc,18.74,7.39,100.04,22,0,3.89,NE,1970-01-01
246,balite,54.78,-127.17,46.4,100,90,2.24,CA,1970-01-01
247,karistos,-20.41,57.7,75.2,83,75,11.41,MU,1970-01-01
248,anadyr,3.38,-59.8,85.91,65,1,1.3,GY,1970-01-01
249,sao joao da barra,31.65,-106.3,73.0,37,75,7.31,US,1970-01-01
250,cienaga de flores,25.26,63.47,83.55,75,0,20.8,PK,1970-01-01
251,anuradhapura,-0.72,8.78,82.4,69,40,11.65,GA,1970-01-01
252,hami,63.75,-68.51,39.2,80,75,3.36,CA,1970-01-01
253,altay,6.12,81.12,82.4,83,90,5.82,LK,1970-01-01
254,mount isa,25.72,-79.3,83.17,73,100,13.98,BS,1970-01-01
255,mattru,3.78,72.97,83.05,79,100,12.06,MV,1970-01-01
256,sakakah,37.47,-4.44,91.99,31,55,3.0,ES,1970-01-01
257,lithgow,-32.03,-52.1,62.01,68,16,5.99,BR,1970-01-01
258,umbraresti,67.54,133.38,45.1,80,95,4.05,RU,1970-01-01
259,maceio,4.96,18.7,91.4,52,75,4.7,CF,1970-01-01
260,mentok,-28.78,32.04,75.49,54,0,15.43,ZA,1970-01-01
261,salisbury,33.07,107.03,72.95,67,18,2.13,CN,1970-01-01
262,portland,25.02,37.27,95.14,49,0,10.33,SA,1970-01-01
263,qandala,5.66,-67.62,80.6,78,40,2.06,VE,1970-01-01
264,groton,-5.2,-35.46,82.4,61,75,12.75,BR,1970-01-01
265,vila franca do campo,36.06,103.79,72.0,42,17,6.51,CN,1970-01-01
266,tshikapa,-22.97,-42.03,78.8,69,40,9.17,BR,1970-01-01
267,gat,49.25,-55.05,64.99,67,20,11.41,CA,1970-01-01
268,diego de almagro,-10.07,-78.15,64.78,68,6,8.19,PE,1970-01-01
269,marcona,51.09,128.38,57.11,95,100,7.38,RU,1970-01-01
270,mitsamiouli,-0.88,131.25,77.86,89,100,9.06,ID,1970-01-01
271,arlit,37.15,21.58,86.0,45,0,12.75,GR,1970-01-01
272,smithers,28.22,61.22,82.89,13,0,10.02,IR,1970-01-01
273,mahebourg,22.29,114.16,86.0,94,100,1.01,HK,1970-01-01
274,lethem,4.65,119.47,85.24,71,0,7.94,PH,1970-01-01
275,socorro,55.1,-105.28,39.2,60,90,10.29,CA,1970-01-01
276,pasni,-36.72,-73.12,51.8,87,90,4.7,CL,1970-01-01
277,port-gentil,66.15,-65.71,41.0,75,75,2.24,CA,1970-01-01
278,iqaluit,-5.25,39.77,79.11,67,0,11.45,TZ,1970-01-01
279,hambantota,-2.02,147.27,82.24,82,2,11.16,PG,1970-01-01
280,tumannyy,65.97,78.37,50.36,66,100,3.56,RU,1970-01-01
281,amderma,32.18,75.07,91.4,70,20,2.24,PK,1970-01-01
282,alice town,-45.87,-67.5,57.2,44,3,9.17,AR,1970-01-01
283,mahibadhoo,71.29,-156.79,37.4,86,90,5.82,US,1970-01-01
284,cabra,54.54,17.75,62.01,62,20,18.34,PL,1970-01-01
285,rio grande,35.13,140.3,82.0,87,74,5.01,JP,1970-01-01
286,verkhoyansk,17.02,54.09,82.4,78,75,8.05,OM,1970-01-01
287,damara,56.01,90.39,45.61,83,0,2.75,RU,1970-01-01
288,richards bay,-7.96,145.78,78.12,90,48,4.41,PG,1970-01-01
289,hanzhong,26.19,-97.7,79.0,100,75,3.36,US,1970-01-01
290,umm lajj,62.72,32.73,60.69,55,0,8.9,RU,1970-01-01
291,puerto ayacucho,42.62,-113.68,64.4,25,1,11.41,US,1970-01-01
292,touros,4.14,96.13,80.2,82,100,1.72,ID,1970-01-01
293,lanzhou,48.01,91.64,57.11,37,2,11.97,MN,1970-01-01
294,arraial do cabo,-8.9,-35.15,79.92,62,0,9.71,BR,1970-01-01
295,dolbeau,35.54,106.69,66.04,52,54,2.82,CN,1970-01-01
296,lewisporte,34.67,138.95,73.0,94,89,9.78,JP,1970-01-01
297,huarmey,-23.7,133.88,69.8,16,0,4.63,AU,1970-01-01
298,seryshevo,6.5,2.6,82.4,78,40,14.99,BJ,1970-01-01
299,sorong,-8.77,160.7,77.54,83,0,3.62,SB,1970-01-01
300,filiatra,53.13,132.9,48.56,97,89,2.84,RU,1970-01-01
301,khash,14.07,-87.47,69.01,100,75,3.78,HN,1970-01-01
302,victoria,46.19,-123.83,57.0,100,90,3.36,US,1970-01-01
303,ligayan,37.1,-113.58,75.2,14,1,3.2,US,1970-01-01
304,la ronge,-0.89,119.87,76.23,81,100,2.33,ID,1970-01-01
305,talcahuano,47.47,84.87,54.34,59,100,6.29,KZ,1970-01-01
306,pangnirtung,-11.1,-77.61,63.1,70,85,7.63,PE,1970-01-01
307,chake chake,58.13,68.59,49.89,77,95,4.7,RU,1970-01-01
308,bur gabo,-34.48,-54.33,57.29,68,0,10.76,UY,1970-01-01
309,lorengau,20.45,121.97,84.22,68,100,8.03,PH,1970-01-01
310,urengoy,70.86,29.09,53.6,71,75,14.99,NO,1970-01-01
311,fazalpur,-2.65,10.0,78.06,70,68,9.48,GA,1970-01-01
312,comodoro rivadavia,63.84,-22.43,48.2,87,75,14.99,IS,1970-01-01
313,barrow,-37.18,139.75,68.04,41,100,25.72,AU,1970-01-01
314,lebork,8.35,100.2,84.2,89,20,2.24,TH,1970-01-01
315,kamenskoye,-8.19,114.97,78.8,100,20,12.75,ID,1970-01-01
316,katsuura,16.52,-98.75,79.83,79,69,2.57,MX,1970-01-01
317,salalah,71.97,102.5,46.29,72,12,6.42,RU,1970-01-01
318,nazarovo,71.0,24.66,50.0,87,75,6.93,NO,1970-01-01
319,kerema,9.52,-82.7,78.8,83,75,4.7,PA,1970-01-01
320,harlingen,44.3,86.03,67.55,41,62,10.13,CN,1970-01-01
321,porosozero,-41.15,-71.31,39.2,64,75,2.24,AR,1970-01-01
322,rupert,-13.7,-76.22,60.01,87,75,3.36,PE,1970-01-01
323,meulaboh,48.68,24.41,68.0,72,40,13.42,UA,1970-01-01
324,hovd,63.44,-20.27,50.0,87,75,23.04,IS,1970-01-01
325,sao jose da coroa grande,40.97,-117.74,48.2,45,1,3.36,US,1970-01-01
326,pingliang,19.11,37.33,97.65,39,0,9.93,SD,1970-01-01
327,shimoda,42.22,-121.78,57.0,70,1,4.7,US,1970-01-01
328,alice springs,23.19,116.61,78.8,94,40,2.24,CN,1970-01-01
329,porto novo,22.85,69.73,85.23,76,0,15.93,IN,1970-01-01
330,dibaya,69.3,139.9,39.22,96,100,3.0,RU,1970-01-01
331,auki,19.38,-69.85,80.6,83,75,5.06,DO,1970-01-01
332,tokur,17.42,121.44,75.63,91,100,2.53,PH,1970-01-01
333,lepaterique,67.45,153.68,41.95,78,33,11.34,RU,1970-01-01
334,astoria,50.25,-117.8,50.0,94,66,3.0,CA,1970-01-01
335,saint george,65.61,-37.64,37.4,93,7,6.93,GL,1970-01-01
336,palu,22.89,-109.91,78.01,85,18,2.8,MX,1970-01-01
337,zaysan,46.25,-83.57,55.4,66,90,11.41,CA,1970-01-01
338,hualmay,40.85,-74.83,72.0,77,0,6.15,US,1970-01-01
339,abalak,23.9,79.2,81.66,78,2,6.42,IN,1970-01-01
340,rocha,39.96,-4.83,81.0,24,11,10.58,ES,1970-01-01
341,basco,-6.84,-79.93,60.8,82,90,14.99,PE,1970-01-01
342,berlevag,65.28,-126.83,41.0,93,75,10.29,CA,1970-01-01
343,gamba,-22.47,-68.93,51.8,9,0,21.92,CL,1970-01-01
344,grindavik,45.2,21.87,91.0,29,20,3.36,RO,1970-01-01
345,robe,43.65,111.98,67.15,47,4,10.54,CN,1970-01-01
346,pak phanang,60.92,-46.05,46.4,87,40,2.24,GL,1970-01-01
347,banjar,53.96,105.88,53.58,72,68,3.47,RU,1970-01-01
348,tecoanapa,59.7,150.17,45.57,89,13,2.08,RU,1970-01-01
349,khatanga,29.58,-9.5,96.75,17,0,9.78,MA,1970-01-01
350,havoysund,42.9,71.37,64.4,25,6,8.95,KZ,1970-01-01
351,barranco,6.3,-70.2,84.06,73,63,5.48,CO,1970-01-01
352,kazalinsk,-14.88,47.99,85.44,36,5,0.96,MG,1970-01-01
353,shihezi,49.75,-77.63,55.4,93,90,13.62,CA,1970-01-01
354,san carlos de bariloche,14.2,24.67,89.69,27,100,10.69,SD,1970-01-01
355,pisco,67.8,130.41,41.68,84,100,4.59,RU,1970-01-01
356,markova,52.96,4.76,66.99,68,20,16.11,NL,1970-01-01
357,vestmannaeyjar,2.82,-60.67,82.4,74,75,5.82,BR,1970-01-01
358,winnemucca,-31.43,152.92,55.0,94,66,6.91,AU,1970-01-01
359,sawakin,30.36,50.8,102.2,22,20,11.41,IR,1970-01-01
360,klamath falls,-22.96,14.51,60.8,72,9,9.17,NA,1970-01-01
361,haimen,43.52,-114.32,53.6,40,1,10.29,US,1970-01-01
362,mundra,52.03,47.8,75.16,29,2,5.37,RU,1970-01-01
363,deputatskiy,24.14,67.45,84.34,78,5,17.25,PK,1970-01-01
364,nagua,42.65,18.09,80.6,51,24,6.93,HR,1970-01-01
365,tabuk,2.67,72.89,83.17,76,91,12.12,MV,1970-01-01
